number_of_dates,percentage,symbol
0,-1,APL
0,-1,ASA
0,-1,AUM
0,-1,BCB
0,-1,BCV
0,-1,BED
0,-1,BHG
0,-1,BMD
0,-1,BMF
0,-1,BMV
0,-1,BNW
0,-1,BSC
0,-1,C22
0,-1,CCV
0,-1,CDH
0,-1,CE1
0,-1,CMK
0,-1,CMP
0,-1,CNA
0,-1,CPH
0,-1,CVP
0,-1,CYC
0,-1,DBW
0,-1,DKC
0,-1,DLR
0,-1,DNN
0,-1,DP2
0,-1,DPD
0,-1,DSV
0,-1,EMG
0,-1,EPC
0,-1,FBA
0,-1,FBC
0,-1,FCC
0,-1,FCS
0,-1,FGL
0,-1,FRM
0,-1,FSO
0,-1,GAB
0,-1,GH3
0,-1,GLC
0,-1,HC1
0,-1,HCI
0,-1,HCT
0,-1,HHN
0,-1,HHR
0,-1,HKP
0,-1,HLR
0,-1,HLT
0,-1,HMG
0,-1,HNP
0,-1,HNR
0,-1,HRB
0,-1,HSA
0,-1,HTW
0,-1,IBN
0,-1,IN4
0,-1,IRC
0,-1,KAC
0,-1,KHW
0,-1,KLM
0,-1,LAW
0,-1,LBC
0,-1,LCD
0,-1,LCW
0,-1,LDW
0,-1,LMC
0,-1,LNC
0,-1,LQN
0,-1,LYF
0,-1,MBN
0,-1,MCC
0,-1,MDA
0,-1,MEF
0,-1,MES
0,-1,MIE
0,-1,MLC
0,-1,MND
0,-1,MQB
0,-1,NAC
0,-1,NDW
0,-1,NGC
0,-1,NLS
0,-1,NQB
0,-1,NQT
0,-1,NSS
0,-1,NVP
0,-1,PAI
0,-1,PID
0,-1,PLE
0,-1,POB
0,-1,PPE
0,-1,PQN
0,-1,PSN
0,-1,PTG
0,-1,PTN
0,-1,PTX
0,-1,PX1
0,-1,PXC
0,-1,QNW
0,-1,QST
0,-1,RBC
0,-1,SAP
0,-1,SCV
0,-1,SCY
0,-1,SHX
0,-1,SSF
0,-1,STS
0,-1,SVH
0,-1,TA3
0,-1,TA6
0,-1,TAG
0,-1,TAN
0,-1,TB8
0,-1,TBX
0,-1,TCK
0,-1,THN
0,-1,THU
0,-1,THW
0,-1,TKA
0,-1,TMW
0,-1,TOW
0,-1,TPS
0,-1,TQN
0,-1,TQW
0,-1,TRT
0,-1,TSD
0,-1,TVG
0,-1,TVH
0,-1,UMC
0,-1,VBG
0,-1,VCE
0,-1,VCT
0,-1,VDB
0,-1,VDT
0,-1,VE4
0,-1,VES
0,-1,VHF
0,-1,VKP
0,-1,VLP
0,-1,VMA
0,-1,VPW
0,-1,VTG
0,-1,VTI
0,-1,VTM
0,-1,VTQ
0,-1,VVS
0,-1,VXP
0,-1,X77
0,-1,YTC
1,0.0,APT
2,0.0,ARM
1,0.0,BEL
1,0.0,BGW
1,0.0,BHK
2,0.0,BKH
1,0.0,BLW
3,0.0,BXH
2,0.0,C12
1,0.0,CCT
1,0.0,CDG
1,0.0,CEG
1,0.0,CH5
6,0.0,CHC
3,0.0,CKA
1,0.0,CMW
1,0.0,CPA
1,0.0,CTX
2,0.0,DAC
1,0.0,DCH
3,0.0,DDH
1,0.0,DLD
2,0.0,DM7
1,0.0,DNT
2,0.0,DOC
1,0.0,DPC
6,0.0,DTH
1,0.0,DUS
1,0.0,DVW
1,0.0,FHN
1,0.0,FTI
1,0.0,GMA
2,0.0,HCB
1,0.0,HEP
1,0.0,HEV
2,0.0,HFC
1,0.0,HLS
2,0.0,HLY
1,0.0,HPB
2,0.0,HPI
3,0.0,IBD
1,0.0,IME
1,0.0,ISG
1,0.0,IST
1,0.0,L10
1,0.0,LAI
1,0.0,LCC
1,0.0,LCS
1,0.0,LM3
3,0.0,MCI
1,0.0,MPY
1,0.0,MTH
1,0.0,MTS
2,0.0,NSG
1,0.0,NWT
1,0.0,PEQ
2,0.0,PHH
1,0.0,PMJ
4,0.0,PNP
1,0.0,QNU
1,0.0,RCC
1,0.0,SAF
2,0.0,SAL
1,0.0,SPH
1,0.0,STW
1,0.0,TBT
1,0.0,TCJ
1,0.0,TEL
1,0.0,TET
1,0.0,TTP
1,0.0,UCT
2,0.0,UEM
2,0.0,UPH
1,0.0,VGP
1,0.0,VGR
1,0.0,VIR
3,0.0,VNI
1,0.0,VXT
3,0.0,XDH
1,0.0,XMP
14,0.07,HRC
5,0.12,TRS
5,0.21,NTH
3,0.32,XLV
6,0.34,HDW
3,0.36,SGC
18,0.46,SCD
3,0.46,TDW
4,0.48,PRT
21,0.49,DP3
2,0.5,DLT
5,0.5,UDL
2,0.54,EME
13,0.56,BAX
22,0.62,FOC
3,0.62,KTL
5,0.63,DCG
2,0.65,ATS
22,0.65,PGI
2,0.66,VLW
23,0.66,VUA
23,0.77,GHC
5,0.81,PTO
23,0.85,SHP
23,0.89,APF
2,0.89,HES
21,0.9,TRA
2,0.9,VTS
7,0.93,HBD
23,0.93,NCT
10,0.97,NBT
23,1.06,TCW
23,1.08,SJD
3,1.1,HEM
12,1.1,HNF
23,1.12,DDG
2,1.12,GLT
23,1.15,ACB
12,1.15,ADP
16,1.16,CAV
23,1.17,SGN
12,1.18,S55
23,1.18,VTR
23,1.19,AST
23,1.19,VPI
4,1.2,ATA
23,1.23,KDC
23,1.27,CDC
23,1.27,SWC
3,1.29,DNH
4,1.31,VDL
23,1.33,BHN
