symbol,number_of_dates,percentage
ACG,0,-1
AGE,0,-1
AMP,0,-1
APL,0,-1
ATG,0,-1
AUM,0,-1
BAF,0,-1
BBH,0,-1
BCA,0,-1
BCB,0,-1
BCV,0,-1
BGW,0,-1
BHG,0,-1
BIG,0,-1
BLN,0,-1
BLW,0,-1
BMD,0,-1
BMN,0,-1
BNW,0,-1
BRS,0,-1
BTG,0,-1
BVL,0,-1
BXH,0,-1
CAB,0,-1
CAR,0,-1
CCT,0,-1
CDG,0,-1
CDH,0,-1
CDR,0,-1
CFV,0,-1
CHC,0,-1
CLG,0,-1
CMK,0,-1
CMP,0,-1
CMW,0,-1
CNA,0,-1
CPA,0,-1
CPH,0,-1
CVP,0,-1
DAN,0,-1
DBW,0,-1
DCH,0,-1
DDH,0,-1
DFF,0,-1
DHB,0,-1
DKC,0,-1
DLD,0,-1
DLR,0,-1
DLT,0,-1
DM7,0,-1
DMN,0,-1
DNN,0,-1
DOC,0,-1
DPD,0,-1
DPP,0,-1
DPS,0,-1
DSD,0,-1
DTB,0,-1
DTG,0,-1
DTH,0,-1
DVM,0,-1
DVW,0,-1
DWC,0,-1
DXL,0,-1
DXS,0,-1
E12,0,-1
EMG,0,-1
EPC,0,-1
FBA,0,-1
FBC,0,-1
FCC,0,-1
FCS,0,-1
FGL,0,-1
FHN,0,-1
FSO,0,-1
FTI,0,-1
GE2,0,-1
GEE,0,-1
GH3,0,-1
GLC,0,-1
GLW,0,-1
GMH,0,-1
HC1,0,-1
HCI,0,-1
HES,0,-1
HFX,0,-1
HGT,0,-1
HGW,0,-1
HHN,0,-1
HHR,0,-1
HKB,0,-1
HLB,0,-1
HLR,0,-1
HMR,0,-1
HNP,0,-1
HNR,0,-1
HPM,0,-1
HRB,0,-1
HTR,0,-1
HTW,0,-1
IBD,0,-1
IBN,0,-1
IDP,0,-1
IN4,0,-1
IRC,0,-1
KAC,0,-1
KCE,0,-1
KHG,0,-1
KHW,0,-1
KLM,0,-1
KSF,0,-1
LAW,0,-1
LBC,0,-1
LCC,0,-1
LCD,0,-1
LCW,0,-1
LDW,0,-1
LG9,0,-1
LNC,0,-1
LQN,0,-1
LSG,0,-1
LWS,0,-1
LYF,0,-1
MBN,0,-1
MCC,0,-1
MCI,0,-1
MDA,0,-1
MEF,0,-1
MES,0,-1
MGC,0,-1
MGR,0,-1
MIE,0,-1
MLC,0,-1
MPY,0,-1
MQB,0,-1
MTB,0,-1
MTC,0,-1
MTH,0,-1
MTS,0,-1
NAC,0,-1
NAU,0,-1
NDW,0,-1
NJC,0,-1
NLS,0,-1
NQB,0,-1
NQT,0,-1
NSL,0,-1
NSS,0,-1
NTF,0,-1
NTT,0,-1
NVP,0,-1
NWT,0,-1
NXT,0,-1
ODE,0,-1
PAI,0,-1
PAP,0,-1
PAT,0,-1
PCH,0,-1
PLO,0,-1
PNG,0,-1
PPT,0,-1
PQN,0,-1
PTD,0,-1
PTG,0,-1
PTH,0,-1
PTN,0,-1
PTX,0,-1
PWS,0,-1
PX1,0,-1
PXC,0,-1
QLT,0,-1
QNT,0,-1
QNU,0,-1
QNW,0,-1
RAT,0,-1
RBC,0,-1
SAL,0,-1
SAP,0,-1
SCV,0,-1
SCY,0,-1
SEP,0,-1
SGI,0,-1
SHX,0,-1
SJC,0,-1
SPH,0,-1
SQC,0,-1
SSF,0,-1
SSH,0,-1
STW,0,-1
SVH,0,-1
SZG,0,-1
TA3,0,-1
TAG,0,-1
TAN,0,-1
TB8,0,-1
TBH,0,-1
TBR,0,-1
TBT,0,-1
TBX,0,-1
TCJ,0,-1
TCK,0,-1
TED,0,-1
TET,0,-1
THN,0,-1
TIN,0,-1
TKA,0,-1
TMW,0,-1
TNP,0,-1
TOS,0,-1
TQN,0,-1
TQW,0,-1
TS3,0,-1
TV6,0,-1
TVG,0,-1
TVW,0,-1
TW3,0,-1
UDL,0,-1
UEM,0,-1
UMC,0,-1
UPC,0,-1
USC,0,-1
VAB,0,-1
VAT,0,-1
VCE,0,-1
VDB,0,-1
VGL,0,-1
VHF,0,-1
VHH,0,-1
VIR,0,-1
VKP,0,-1
VLP,0,-1
VMA,0,-1
VPR,0,-1
VPW,0,-1
VTG,0,-1
VTI,0,-1
VTM,0,-1
VTQ,0,-1
VTZ,0,-1
VUA,0,-1
VVS,0,-1
X77,0,-1
XDH,0,-1
XMD,0,-1
XMP,0,-1
YTC,0,-1
APT,1,0.0
ATS,1,0.0
BBM,1,0.0
BDW,1,0.0
BED,1,0.0
BEL,1,0.0
BKH,1,0.0
BMG,1,0.0
BMJ,2,0.0
BMV,2,0.0
BSD,1,0.0
BSH,1,0.0
BTV,1,0.0
CBS,3,0.0
CCP,2,0.0
CCV,1,0.0
CEG,2,0.0
CMF,1,0.0
CSI,1,0.0
DCG,1,0.0
DFC,1,0.0
DNA,1,0.0
DND,1,0.0
DNH,1,0.0
DNT,1,0.0
DTT,1,0.0
DTV,3,0.0
ECI,1,0.0
EME,2,0.0
HAV,1,0.0
ICC,1,0.0
KTL,1,0.0
LMI,2,0.0
MKV,2,0.0
MND,1,0.0
NDP,1,0.0
NHP,1,0.0
NHV,1,0.0
PLE,1,0.0
PMJ,3,0.0
PNP,1,0.0
POB,2,0.0
PRC,1,0.0
PTE,1,0.0
PTO,1,0.0
RCC,1,0.0
SBM,3,0.0
SCO,1,0.0
SGH,1,0.0
SP2,1,0.0
SSG,1,0.0
TAW,1,0.0
TDB,3,0.0
TH1,3,0.0
TPS,1,0.0
TRT,2,0.0
TSB,1,0.0
TVA,2,0.0
TVM,1,0.0
UCT,1,0.0
VBG,1,0.0
VCT,1,0.0
VNX,1,0.0
VTH,3,0.0
MKP,14,0.16
GAB,20,0.32
PGI,17,0.32
KMT,3,0.41
NBE,20,0.44
HCT,3,0.49
VRG,20,0.58
CMD,5,0.66
CTB,10,0.75
HGM,2,0.76
CJC,3,0.77
TV1,4,0.81
BCP,4,0.82
VCF,8,0.83
SKN,3,0.84
ND2,11,0.88
S4A,16,1.02
SGD,15,1.02
MGG,3,1.07
TMC,19,1.07
ACS,3,1.11
NCT,20,1.11
TDP,20,1.12
PIA,10,1.13
CHP,20,1.24
CAV,20,1.31
HPB,9,1.34
SNC,4,1.35
CTF,20,1.37
GGG,4,1.43
BWS,18,1.44
TV4,20,1.45
SGN,20,1.47
PRE,20,1.48
TBC,20,1.5
ANT,14,1.54
HVT,5,1.54
BTP,20,1.56
DRL,16,1.57
FPT,20,1.58
NFC,4,1.58
NSC,17,1.62
SJD,20,1.63
AGX,4,1.67
LO5,4,1.67
SZB,20,1.71
GHC,20,1.72
HCC,19,1.72
IMP,20,1.73
SBA,19,1.74
GMA,19,1.76
VOC,20,1.78
QTC,19,1.8
CLL,20,1.81
EPH,17,1.81
DVP,20,1.84
