symbol,percentage,number_of_dates
ACG,-1,0
AGE,-1,0
AMP,-1,0
APL,-1,0
APT,-1,0
ATG,-1,0
AUM,-1,0
BAF,-1,0
BBH,-1,0
BCA,-1,0
BCB,-1,0
BCV,-1,0
BGW,-1,0
BIG,-1,0
BIO,-1,0
BLN,-1,0
BLW,-1,0
BMG,-1,0
BMN,-1,0
BNW,-1,0
BRS,-1,0
BTG,-1,0
BVL,-1,0
BXH,-1,0
CAB,-1,0
CAR,-1,0
CCT,-1,0
CDG,-1,0
CDH,-1,0
CE1,-1,0
CFV,-1,0
CHC,-1,0
CLG,-1,0
CMK,-1,0
CMP,-1,0
CMW,-1,0
CNA,-1,0
CPH,-1,0
CST,-1,0
CVP,-1,0
DAN,-1,0
DBW,-1,0
DCG,-1,0
DCH,-1,0
DDH,-1,0
DFF,-1,0
DHB,-1,0
DLT,-1,0
DM7,-1,0
DMN,-1,0
DNN,-1,0
DPS,-1,0
DSD,-1,0
DTH,-1,0
DVM,-1,0
DVW,-1,0
DWC,-1,0
DXS,-1,0
E12,-1,0
EMG,-1,0
EPC,-1,0
FBA,-1,0
FBC,-1,0
FGL,-1,0
FHN,-1,0
FSO,-1,0
FTI,-1,0
GE2,-1,0
GEE,-1,0
GH3,-1,0
GLC,-1,0
GLW,-1,0
GMH,-1,0
HFX,-1,0
HGT,-1,0
HHN,-1,0
HHR,-1,0
HKB,-1,0
HLR,-1,0
HMR,-1,0
HNR,-1,0
HSV,-1,0
HTR,-1,0
HTW,-1,0
IBD,-1,0
IBN,-1,0
IRC,-1,0
KAC,-1,0
KHG,-1,0
KHW,-1,0
KLM,-1,0
KSF,-1,0
LAW,-1,0
LCC,-1,0
LCD,-1,0
LCW,-1,0
LDW,-1,0
LG9,-1,0
LNC,-1,0
LPT,-1,0
LQN,-1,0
LSG,-1,0
LWS,-1,0
LYF,-1,0
MBN,-1,0
MDA,-1,0
MEF,-1,0
MES,-1,0
MGC,-1,0
MGR,-1,0
MIE,-1,0
MLC,-1,0
MPY,-1,0
MQB,-1,0
MTB,-1,0
MTC,-1,0
NAU,-1,0
NDW,-1,0
NHV,-1,0
NQB,-1,0
NQT,-1,0
NVP,-1,0
NWT,-1,0
NXT,-1,0
ODE,-1,0
PAI,-1,0
PAP,-1,0
PAT,-1,0
PCH,-1,0
PPT,-1,0
PQN,-1,0
PTG,-1,0
PTN,-1,0
PTX,-1,0
PX1,-1,0
PXC,-1,0
QLT,-1,0
QNW,-1,0
RBC,-1,0
S72,-1,0
SAL,-1,0
SCG,-1,0
SCO,-1,0
SCV,-1,0
SCY,-1,0
SGI,-1,0
SHX,-1,0
SJC,-1,0
SQC,-1,0
SSF,-1,0
SSH,-1,0
STS,-1,0
STW,-1,0
SVH,-1,0
SZG,-1,0
TA3,-1,0
TAG,-1,0
TB8,-1,0
TBH,-1,0
TBR,-1,0
TBT,-1,0
TBX,-1,0
TED,-1,0
TET,-1,0
THN,-1,0
