open,close,volume,symbol,timestamp,low,date,high
6.28,4.4,354300,THB,1227052800,4.03,2008-11-19,6.54
4.14,4.08,130400,THB,1227139200,4.08,2008-11-20,4.19
3.82,4.11,86800,THB,1227225600,3.82,2008-11-21,4.19
4.08,4.03,20400,THB,1227484800,4.01,2008-11-24,4.08
3.98,3.8,111200,THB,1227571200,3.8,2008-11-25,4.06
3.85,3.59,38600,THB,1227657600,3.59,2008-11-26,3.88
3.46,3.38,38200,THB,1227744000,3.38,2008-11-27,3.46
3.38,3.61,74000,THB,1227830400,3.38,2008-11-28,3.61
3.46,3.38,34000,THB,1228089600,3.33,2008-12-01,3.59
3.25,3.35,12700,THB,1228176000,3.35,2008-12-02,3.33
3.3,3.17,49000,THB,1228262400,3.33,2008-12-03,3.22
3.38,3.35,27700,THB,1228348800,3.38,2008-12-04,3.33
3.25,3.17,45000,THB,1228435200,3.25,2008-12-05,3.17
3.14,3.01,20400,THB,1228694400,3.14,2008-12-08,3.06
3.14,3.14,25100,THB,1228780800,3.19,2008-12-09,3.14
3.14,3.35,66100,THB,1228867200,3.35,2008-12-10,3.3
3.3,3.33,14200,THB,1228953600,3.35,2008-12-11,3.33
3.43,3.51,29400,THB,1229040000,3.53,2008-12-12,3.51
3.67,3.46,9900,THB,1229299200,3.67,2008-12-15,3.43
3.22,3.19,20500,THB,1229385600,3.22,2008-12-16,3.19
3.33,3.38,19000,THB,1229472000,3.22,2008-12-17,3.4
3.38,3.38,8300,THB,1229558400,3.22,2008-12-18,3.4
3.33,3.35,9600,THB,1229644800,3.33,2008-12-19,3.43
3.4,3.35,5600,THB,1229904000,3.35,2008-12-22,3.4
3.35,3.3,7300,THB,1229990400,3.3,2008-12-23,3.35
3.25,3.33,19000,THB,1230076800,3.25,2008-12-24,3.33
3.27,3.27,12000,THB,1230163200,3.27,2008-12-25,3.3
3.27,3.4,28000,THB,1230249600,3.27,2008-12-26,3.43
3.4,3.38,20800,THB,1230508800,3.38,2008-12-29,3.4
3.33,3.4,12300,THB,1230595200,3.33,2008-12-30,3.4
3.35,3.35,7500,THB,1230681600,3.35,2008-12-31,3.38
3.35,3.33,14500,THB,1230854400,3.33,2009-01-02,3.4
3.33,3.35,5200,THB,1231113600,3.33,2009-01-05,3.35
3.35,3.4,9900,THB,1231200000,3.35,2009-01-06,3.4
3.35,3.4,22300,THB,1231286400,3.33,2009-01-07,3.4
3.14,3.3,12000,THB,1231372800,3.14,2009-01-08,3.38
3.06,3.33,20600,THB,1231459200,3.06,2009-01-09,3.33
3.19,3.43,48000,THB,1231718400,3.19,2009-01-12,3.43
3.4,3.38,5100,THB,1231804800,3.33,2009-01-13,3.4
3.35,3.35,4300,THB,1231891200,3.35,2009-01-14,3.35
3.3,3.35,4000,THB,1231977600,3.3,2009-01-15,3.35
3.35,3.38,3000,THB,1232064000,3.35,2009-01-16,3.38
3.38,3.33,4500,THB,1232323200,3.33,2009-01-19,3.38
3.35,3.33,21500,THB,1232409600,3.3,2009-01-20,3.35
3.38,3.4,25600,THB,1232496000,3.38,2009-01-21,3.46
3.43,3.51,10800,THB,1232582400,3.43,2009-01-22,3.51
3.46,3.48,1600,THB,1232668800,3.46,2009-01-23,3.48
3.35,3.33,5000,THB,1233532800,3.33,2009-02-02,3.35
3.12,3.14,10600,THB,1233619200,3.12,2009-02-03,3.17
3.17,3.14,13800,THB,1233705600,3.12,2009-02-04,3.25
3.09,3.04,8100,THB,1233792000,2.98,2009-02-05,3.09
3.06,2.96,13400,THB,1233878400,2.88,2009-02-06,3.06
3.01,3.09,4600,THB,1234137600,3.01,2009-02-09,3.09
2.88,3.06,500,THB,1234224000,2.88,2009-02-10,3.09
3.01,3.01,5500,THB,1234310400,3.01,2009-02-11,3.04
2.96,2.91,2000,THB,1234396800,2.91,2009-02-12,2.96
2.93,2.93,9100,THB,1234483200,2.91,2009-02-13,2.93
2.8,2.98,3200,THB,1234742400,2.8,2009-02-16,2.98
3.01,2.77,7200,THB,1234828800,2.72,2009-02-17,3.01
2.67,2.75,14400,THB,1234915200,2.64,2009-02-18,2.75
2.75,2.62,2200,THB,1235001600,2.62,2009-02-19,2.75
2.62,2.62,7800,THB,1235088000,2.62,2009-02-20,2.62
2.49,2.46,15100,THB,1235347200,2.44,2009-02-23,2.51
2.36,2.44,7000,THB,1235433600,2.36,2009-02-24,2.49
2.41,2.62,10700,THB,1235520000,2.41,2009-02-25,2.62
2.59,2.57,10200,THB,1235606400,2.57,2009-02-26,2.62
2.62,2.62,6000,THB,1235692800,2.62,2009-02-27,2.62
2.64,2.64,4300,THB,1235952000,2.64,2009-03-02,2.64
2.67,2.67,6400,THB,1236038400,2.67,2009-03-03,2.67
2.75,2.77,2500,THB,1236124800,2.75,2009-03-04,2.77
2.77,2.8,3400,THB,1236211200,2.77,2009-03-05,2.8
2.8,2.72,1900,THB,1236297600,2.72,2009-03-06,2.8
2.77,2.83,2000,THB,1236556800,2.77,2009-03-09,2.83
2.7,2.85,5100,THB,1236643200,2.7,2009-03-10,2.85
2.93,2.88,30800,THB,1236729600,2.85,2009-03-11,2.93
2.93,2.88,18200,THB,1236816000,2.75,2009-03-12,2.96
2.83,2.83,13700,THB,1236902400,2.75,2009-03-13,2.83
2.85,2.77,6400,THB,1237161600,2.77,2009-03-16,2.85
2.8,2.83,2400,THB,1237248000,2.8,2009-03-17,2.88
2.85,2.88,18300,THB,1237334400,2.8,2009-03-18,2.88
2.85,2.77,2800,THB,1237420800,2.77,2009-03-19,2.85
2.77,2.72,16000,THB,1237507200,2.72,2009-03-20,2.77
2.88,2.67,9100,THB,1237766400,2.67,2009-03-23,2.88
2.88,2.8,25600,THB,1237852800,2.75,2009-03-24,2.88
2.8,2.77,19500,THB,1237939200,2.77,2009-03-25,2.8
2.85,2.85,9900,THB,1238025600,2.83,2009-03-26,2.85
2.8,2.83,13200,THB,1238112000,2.77,2009-03-27,2.83
2.77,2.77,6700,THB,1238371200,2.77,2009-03-30,2.77
2.72,2.77,10800,THB,1238457600,2.72,2009-03-31,2.77
2.83,2.8,13600,THB,1238544000,2.8,2009-04-01,2.83
2.8,2.98,60600,THB,1238630400,2.8,2009-04-02,2.98
3.01,3.09,76700,THB,1238716800,3.01,2009-04-03,3.09
3.27,3.3,60400,THB,1239062400,3.19,2009-04-07,3.3
3.27,3.06,49000,THB,1239148800,3.06,2009-04-08,3.38
3.14,2.96,26300,THB,1239235200,2.93,2009-04-09,3.14
3.22,3.25,59500,THB,1239321600,3.04,2009-04-10,3.25
3.35,3.43,118500,THB,1239580800,3.35,2009-04-13,3.43
3.61,3.27,12200,THB,1239667200,3.27,2009-04-14,3.61
3.19,3.14,13400,THB,1239753600,3.14,2009-04-15,3.27
3.27,3.12,12600,THB,1239840000,3.06,2009-04-16,3.27
3.09,2.98,63900,THB,1239926400,2.98,2009-04-17,3.09
2.8,2.83,35300,THB,1240185600,2.8,2009-04-20,2.88
2.62,2.88,6400,THB,1240272000,2.62,2009-04-21,2.88
2.96,2.96,7500,THB,1240358400,2.88,2009-04-22,2.96
2.96,2.96,21600,THB,1240444800,2.88,2009-04-23,3.01
2.88,2.91,61700,THB,1240531200,2.8,2009-04-24,2.93
2.83,2.88,24400,THB,1240790400,2.83,2009-04-27,2.91
2.88,2.88,5000,THB,1240876800,2.88,2009-04-28,2.88
3.04,2.83,1100,THB,1240963200,2.83,2009-04-29,3.04
2.88,3.04,10100,THB,1241395200,2.88,2009-05-04,3.04
3.17,3.14,17600,THB,1241481600,3.04,2009-05-05,3.17
3.27,3.17,2400,THB,1241568000,3.17,2009-05-06,3.27
3.14,3.12,34700,THB,1241654400,3.01,2009-05-07,3.14
3.06,3.04,7900,THB,1241740800,2.98,2009-05-08,3.06
3.01,2.98,6500,THB,1242000000,2.96,2009-05-11,3.01
2.93,3.01,6300,THB,1242086400,2.88,2009-05-12,3.12
2.98,2.98,28100,THB,1242172800,2.88,2009-05-13,3.01
2.91,2.98,25400,THB,1242259200,2.88,2009-05-14,3.04
3.09,3.06,20100,THB,1242345600,3.01,2009-05-15,3.09
3.12,3.06,10200,THB,1242604800,2.98,2009-05-18,3.12
3.12,3.22,99200,THB,1242691200,3.01,2009-05-19,3.22
3.35,3.35,21300,THB,1242777600,3.14,2009-05-20,3.35
3.53,3.56,121700,THB,1242864000,3.4,2009-05-21,3.56
3.53,3.48,41700,THB,1242950400,3.3,2009-05-22,3.67
3.56,3.69,90800,THB,1243209600,3.56,2009-05-25,3.69
3.88,3.64,42900,THB,1243296000,3.59,2009-05-26,3.9
3.72,3.56,64200,THB,1243382400,3.48,2009-05-27,3.72
3.4,3.48,32700,THB,1243468800,3.4,2009-05-28,3.48
3.46,3.46,24300,THB,1243555200,3.35,2009-05-29,3.46
3.48,3.64,42000,THB,1243814400,3.48,2009-06-01,3.64
3.88,3.88,108100,THB,1243900800,3.67,2009-06-02,3.88
4.11,4.11,35400,THB,1243987200,4.11,2009-06-03,4.11
4.37,4.37,22800,THB,1244073600,4.37,2009-06-04,4.37
4.66,4.66,9600,THB,1244160000,4.66,2009-06-05,4.66
4.97,4.97,39500,THB,1244419200,4.97,2009-06-08,4.97
5.32,5.32,74000,THB,1244505600,5.32,2009-06-09,5.32
5.68,5.68,581500,THB,1244592000,5.32,2009-06-10,5.68
6.05,6.05,93200,THB,1244678400,6.02,2009-06-11,6.05
6.47,6.47,132100,THB,1244764800,6.41,2009-06-12,6.47
6.47,6.02,134700,THB,1245024000,6.02,2009-06-15,6.81
5.71,5.71,6700,THB,1245110400,5.71,2009-06-16,5.71
5.32,5.5,90500,THB,1245196800,5.32,2009-06-17,5.71
5.5,5.45,132000,THB,1245283200,5.42,2009-06-18,5.76
5.92,5.29,104100,THB,1245369600,5.18,2009-06-19,5.92
5,5,12000,THB,1245628800,5,2009-06-22,5.11
4.66,4.66,11900,THB,1245715200,4.66,2009-06-23,4.66
4.35,4.97,106900,THB,1245801600,4.35,2009-06-24,4.97
5.08,4.53,61400,THB,1245888000,4.48,2009-06-25,5.08
4.58,4.58,34600,THB,1245974400,4.45,2009-06-26,4.71
4.55,4.84,27400,THB,1246233600,4.55,2009-06-29,4.84
4.71,4.58,17000,THB,1246320000,4.58,2009-06-30,4.71
4.45,4.35,35100,THB,1246406400,4.35,2009-07-01,4.45
4.48,4.48,15700,THB,1246492800,4.19,2009-07-02,4.5
4.42,4.4,31500,THB,1246579200,4.32,2009-07-03,4.42
4.45,4.69,43500,THB,1246838400,4.45,2009-07-06,4.69
4.61,4.55,28000,THB,1246924800,4.5,2009-07-07,4.71
4.45,4.45,4100,THB,1247011200,4.32,2009-07-08,4.45
4.45,4.42,14100,THB,1247097600,4.37,2009-07-09,4.55
4.19,4.4,7000,THB,1247184000,4.19,2009-07-10,4.42
4.27,4.11,8600,THB,1247443200,4.06,2009-07-13,4.27
4.4,4.32,21700,THB,1247529600,4.19,2009-07-14,4.4
4.53,4.37,2500,THB,1247616000,4.27,2009-07-15,4.53
4.37,4.32,16800,THB,1247702400,4.24,2009-07-16,4.37
4.21,4.21,8700,THB,1247788800,4.19,2009-07-17,4.32
4.19,4.08,10900,THB,1248048000,4.06,2009-07-20,4.19
4.27,3.93,10700,THB,1248134400,3.93,2009-07-21,4.27
4.06,3.98,23500,THB,1248220800,3.95,2009-07-22,4.06
3.88,4.19,20000,THB,1248307200,3.88,2009-07-23,4.19
4.32,4.35,20500,THB,1248393600,4.32,2009-07-24,4.35
4.63,4.35,42100,THB,1248652800,4.19,2009-07-27,4.63
4.19,4.16,33400,THB,1248739200,4.14,2009-07-28,4.32
4.16,4.11,18500,THB,1248825600,4.08,2009-07-29,4.16
3.95,4.14,18100,THB,1248912000,3.95,2009-07-30,4.16
4.19,4.19,18600,THB,1248998400,4.11,2009-07-31,4.21
4.19,4.08,6500,THB,1249257600,4.08,2009-08-03,4.19
4.19,4.14,14400,THB,1249344000,3.98,2009-08-04,4.19
4.11,4.37,36900,THB,1249430400,4.06,2009-08-05,4.37
4.48,4.48,20200,THB,1249516800,4.48,2009-08-06,4.48
4.76,4.76,198400,THB,1249603200,4.53,2009-08-07,4.76
4.76,4.71,59500,THB,1249862400,4.61,2009-08-10,5.05
4.71,4.61,20800,THB,1249948800,4.58,2009-08-11,4.71
4.61,4.66,97800,THB,1250035200,4.61,2009-08-12,4.71
4.76,4.97,166300,THB,1250121600,4.76,2009-08-13,5
4.9,4.92,31400,THB,1250208000,4.84,2009-08-14,4.97
4.97,4.76,22300,THB,1250467200,4.76,2009-08-17,4.97
4.76,4.76,29100,THB,1250553600,4.66,2009-08-18,4.79
4.79,4.87,48300,THB,1250640000,4.71,2009-08-19,4.87
4.9,4.97,92400,THB,1250726400,4.9,2009-08-20,5
5.11,5.03,149700,THB,1250812800,5.03,2009-08-21,5.29
5.5,4.95,19800,THB,1251072000,4.92,2009-08-24,5.5
4.76,4.82,28900,THB,1251158400,4.71,2009-08-25,4.84
4.79,5,78400,THB,1251244800,4.79,2009-08-26,5.11
5.21,5.24,113800,THB,1251331200,4.95,2009-08-27,5.32
5.24,5.45,240500,THB,1251417600,5.24,2009-08-28,5.45
5.5,5.63,69600,THB,1251676800,5.45,2009-08-31,5.63
5,5.03,10500,THB,1251936000,5,2009-09-03,5.21
4.95,4.9,122000,THB,1252022400,4.71,2009-09-04,5.05
4.71,4.84,63500,THB,1252281600,4.71,2009-09-07,4.97
5.05,4.97,33000,THB,1252368000,4.82,2009-09-08,5.05
5.11,4.92,31400,THB,1252454400,4.92,2009-09-09,5.11
4.95,5.29,77600,THB,1252540800,4.71,2009-09-10,5.29
5.34,5.37,286900,THB,1252627200,5.29,2009-09-11,5.37
5.73,5.73,279800,THB,1252886400,5.45,2009-09-14,5.73
5.71,5.39,83300,THB,1252972800,5.34,2009-09-15,5.71
5.5,5.42,81300,THB,1253059200,5.32,2009-09-16,5.71
5.47,5.26,98800,THB,1253145600,5.18,2009-09-17,5.47
5.26,5.58,107900,THB,1253232000,5.24,2009-09-18,5.66
5.71,5.39,101500,THB,1253491200,5.37,2009-09-21,5.71
5.37,5.32,53800,THB,1253577600,5.26,2009-09-22,5.45
5.63,5.26,99400,THB,1253664000,5.26,2009-09-23,5.63
5.34,5.71,196500,THB,1253750400,5.34,2009-09-24,5.71
5.84,5.84,137300,THB,1253836800,5.76,2009-09-25,5.84
6.18,6,319300,THB,1254096000,5.94,2009-09-28,6.23
6.41,6.07,123000,THB,1254182400,5.89,2009-09-29,6.41
6.02,5.76,93500,THB,1254268800,5.55,2009-09-30,6.02
5.5,5.45,109600,THB,1254355200,5.37,2009-10-01,5.55
5.29,5.18,144800,THB,1254441600,5.08,2009-10-02,5.29
5.37,5.47,32800,THB,1254700800,5.24,2009-10-05,5.5
5.63,5.32,32700,THB,1254787200,5.24,2009-10-06,5.63
5.39,5.39,40200,THB,1254873600,5.37,2009-10-07,5.5
5.39,5.5,57600,THB,1254960000,5.29,2009-10-08,5.5
5.58,5.5,54100,THB,1255046400,5.42,2009-10-09,5.58
5.6,5.86,186500,THB,1255305600,5.6,2009-10-12,5.86
6.15,5.86,92500,THB,1255392000,5.71,2009-10-13,6.15
5.76,6.21,301200,THB,1255478400,5.76,2009-10-14,6.21
6.47,6.47,280100,THB,1255564800,6.47,2009-10-15,6.47
6.91,6.91,161900,THB,1255651200,6.91,2009-10-16,6.91
7.38,7.36,374000,THB,1255910400,7.33,2009-10-19,7.38
7.88,7.59,317500,THB,1255996800,7.33,2009-10-20,7.88
7.51,7.38,259300,THB,1256083200,6.99,2009-10-21,7.59
7.51,7.85,386800,THB,1256169600,7.33,2009-10-22,7.85
7.99,7.17,256700,THB,1256256000,7.17,2009-10-23,7.99
6.99,6.99,148600,THB,1256515200,6.99,2009-10-26,7.41
6.57,6.65,126500,THB,1256601600,6.57,2009-10-27,6.81
6.54,7.09,97900,THB,1256688000,6.54,2009-10-28,7.09
7.46,7.04,111400,THB,1256774400,6.65,2009-10-29,7.46
7.33,6.91,78800,THB,1256860800,6.81,2009-10-30,7.36
6.99,6.54,41900,THB,1257120000,6.54,2009-11-02,7.04
6.13,6.13,71600,THB,1257206400,6.13,2009-11-03,6.81
6.02,5.97,82000,THB,1257292800,5.76,2009-11-04,6.28
6.15,6.15,37800,THB,1257379200,5.89,2009-11-05,6.23
6.44,6,29500,THB,1257465600,6,2009-11-06,6.44
6.02,5.81,42700,THB,1257724800,5.81,2009-11-09,6.02
5.5,5.63,25900,THB,1257811200,5.5,2009-11-10,5.63
5.6,5.94,55500,THB,1257897600,5.6,2009-11-11,5.94
6.07,6.15,27500,THB,1257984000,6.07,2009-11-12,6.15
6.15,6.15,34200,THB,1258070400,5.76,2009-11-13,6.18
6.28,6.21,8300,THB,1258329600,6.18,2009-11-16,6.36
6.15,6.13,13300,THB,1258416000,6.02,2009-11-17,6.15
6.15,6.18,19700,THB,1258502400,5.76,2009-11-18,6.28
5.76,6.07,27000,THB,1258588800,5.76,2009-11-19,6.28
6.05,6.02,16100,THB,1258675200,5.76,2009-11-20,6.05
5.97,5.76,35700,THB,1258934400,5.73,2009-11-23,6.02
5.89,5.66,25800,THB,1259020800,5.66,2009-11-24,5.89
5.45,5.29,48000,THB,1259107200,5.29,2009-11-25,5.45
4.97,4.95,8700,THB,1259193600,4.95,2009-11-26,4.97
4.61,4.84,91100,THB,1259280000,4.61,2009-11-27,5.26
4.74,5,33500,THB,1259539200,4.74,2009-11-30,5
5.29,5.32,32300,THB,1259625600,5.18,2009-12-01,5.32
5.37,4.97,34900,THB,1259712000,4.97,2009-12-02,5.39
5.24,5.16,10600,THB,1259798400,4.97,2009-12-03,5.32
5.24,5.11,13600,THB,1259884800,4.97,2009-12-04,5.24
5.21,5.21,2400,THB,1260144000,5.13,2009-12-07,5.24
5.24,5.05,51500,THB,1260230400,4.87,2009-12-08,5.24
4.87,4.74,34500,THB,1260316800,4.74,2009-12-09,4.87
4.63,4.45,103400,THB,1260403200,4.45,2009-12-10,4.63
4.32,4.19,93100,THB,1260489600,4.19,2009-12-11,4.32
4.06,4.16,92300,THB,1260748800,3.93,2009-12-14,4.21
3.93,4.19,71400,THB,1260835200,3.93,2009-12-15,4.29
4.06,4.01,29600,THB,1260921600,3.95,2009-12-16,4.08
3.93,3.98,25700,THB,1261008000,3.9,2009-12-17,3.98
4.14,4.19,7000,THB,1261094400,4.14,2009-12-18,4.19
