open,close,volume,symbol,timestamp,low,date,high
10.78,10.78,24900,PEN,1411603200,10.78,2014-09-25,10.78
11.83,9.73,27500,PEN,1411689600,9.73,2014-09-26,11.83
10.45,8.79,2100,PEN,1411948800,8.79,2014-09-29,10.45
7.96,7.96,800,PEN,1412035200,7.96,2014-09-30,7.96
7.18,7.18,38700,PEN,1412121600,7.18,2014-10-01,8.73
7.9,7.9,15200,PEN,1412208000,7.9,2014-10-02,7.9
8.68,8.68,8810,PEN,1412294400,8.68,2014-10-03,8.68
8.68,7.85,6400,PEN,1412553600,7.85,2014-10-06,8.68
7.74,8.07,1800,PEN,1412640000,7.74,2014-10-07,8.13
7.3,7.35,13200,PEN,1412726400,7.3,2014-10-08,8.02
7.3,7.18,1600,PEN,1412812800,7.08,2014-10-09,7.3
7.9,7.63,200,PEN,1412899200,7.63,2014-10-10,7.9
7.18,6.96,4200,PEN,1413158400,6.91,2014-10-13,7.18
7.08,7.08,300,PEN,1413244800,7.08,2014-10-14,7.08
7.3,7.3,100,PEN,1413331200,7.3,2014-10-15,7.3
6.91,6.91,1000,PEN,1413417600,6.91,2014-10-16,6.91
6.74,6.3,1700,PEN,1413763200,6.3,2014-10-20,6.74
6.41,6.63,600,PEN,1413849600,6.41,2014-10-21,6.63
6.63,6.63,500,PEN,1413936000,6.63,2014-10-22,6.63
6.03,6.03,500,PEN,1414540800,6.03,2014-10-29,6.03
5.58,5.58,100,PEN,1414627200,5.58,2014-10-30,5.58
5.14,6.13,2000,PEN,1414713600,5.14,2014-10-31,6.13
5.91,6.52,200,PEN,1415145600,5.91,2014-11-05,6.52
5.91,5.91,1700,PEN,1415318400,5.91,2014-11-07,5.97
6.03,6.03,100,PEN,1415836800,6.03,2014-11-13,6.03
5.53,5.53,8300,PEN,1416268800,5.53,2014-11-18,5.53
6.08,6.08,400,PEN,1416355200,6.08,2014-11-19,6.08
5.75,6.08,800,PEN,1416441600,5.75,2014-11-20,6.08
5.8,5.69,400,PEN,1416528000,5.69,2014-11-21,5.8
5.2,5.14,2200,PEN,1417132800,5.14,2014-11-28,5.2
5.64,5.64,100,PEN,1417478400,5.64,2014-12-02,5.64
5.53,5.53,100,PEN,1417651200,5.53,2014-12-04,5.53
4.97,4.97,1500,PEN,1417996800,4.97,2014-12-08,4.97
4.97,4.97,1400,PEN,1418083200,4.97,2014-12-09,4.97
5.2,5.2,2000,PEN,1418774400,5.2,2014-12-17,5.2
4.75,4.75,800,PEN,1418860800,4.75,2014-12-18,4.75
5.08,5.08,100,PEN,1419206400,5.08,2014-12-22,5.08
5.14,5.14,300,PEN,1419379200,5.14,2014-12-24,5.14
4.97,4.97,100,PEN,1419465600,4.97,2014-12-25,4.97
4.7,4.7,1800,PEN,1419552000,4.7,2014-12-26,4.7
4.42,4.42,3000,PEN,1419811200,4.42,2014-12-29,4.42
4.42,4.42,2000,PEN,1419897600,4.42,2014-12-30,4.42
4.42,4.42,1700,PEN,1419984000,4.42,2014-12-31,4.42
4.42,4.42,4700,PEN,1420502400,4.42,2015-01-06,4.42
4.48,4.42,2000,PEN,1420588800,4.42,2015-01-07,4.48
4.42,4.42,300,PEN,1421020800,4.42,2015-01-12,4.42
4.42,4.75,10100,PEN,1421193600,4.42,2015-01-14,4.75
4.42,4.42,500,PEN,1421366400,4.42,2015-01-16,4.42
4.42,4.86,3500,PEN,1421884800,4.42,2015-01-22,4.86
5.25,5.25,500,PEN,1421971200,5.25,2015-01-23,5.25
5.53,5.75,7700,PEN,1422230400,5.53,2015-01-26,5.75
5.64,6.08,3300,PEN,1422316800,5.53,2015-01-27,6.08
6.08,6.58,300,PEN,1422403200,6.08,2015-01-28,6.58
6.36,6.03,4600,PEN,1422576000,6.03,2015-01-30,6.41
6.03,5.75,4100,PEN,1422835200,5.75,2015-02-02,6.03
6.03,6.03,2400,PEN,1423008000,6.03,2015-02-04,6.08
6.25,6.25,100,PEN,1423094400,6.25,2015-02-05,6.25
6.3,6.3,500,PEN,1423440000,6.3,2015-02-09,6.3
6.36,6.36,800,PEN,1423612800,6.08,2015-02-11,6.36
6.36,6.63,200,PEN,1423785600,6.36,2015-02-13,6.63
7.08,7.08,200,PEN,1424822400,7.08,2015-02-25,7.08
7.08,7.08,1000,PEN,1424908800,7.08,2015-02-26,7.08
6.41,6.85,2600,PEN,1425340800,6.41,2015-03-03,6.85
6.85,6.58,300,PEN,1425427200,6.58,2015-03-04,6.85
6.63,6.47,1500,PEN,1425513600,6.47,2015-03-05,6.63
6.58,6.58,100,PEN,1425600000,6.58,2015-03-06,6.58
6.08,6.58,1500,PEN,1425859200,5.97,2015-03-09,6.58
6.08,6.08,2070,PEN,1426032000,6.08,2015-03-11,6.08
6.63,6.36,200,PEN,1426550400,6.36,2015-03-17,6.63
6.36,6.36,2200,PEN,1427241600,6.36,2015-03-25,6.36
6.3,6.3,2100,PEN,1427328000,6.3,2015-03-26,6.36
6.25,6.25,200,PEN,1427414400,6.25,2015-03-27,6.25
6.25,6.36,2700,PEN,1427673600,6.25,2015-03-30,6.36
6.3,6.3,100,PEN,1427760000,6.3,2015-03-31,6.3
6.25,6.08,300,PEN,1428278400,6.08,2015-04-06,6.25
5.47,6.36,300,PEN,1428364800,5.47,2015-04-07,6.36
6.52,6.52,1500,PEN,1428624000,6.52,2015-04-10,6.52
6.08,6.08,100,PEN,1428883200,6.08,2015-04-13,6.08
6.13,6.08,3400,PEN,1429056000,6.08,2015-04-15,6.13
6.13,6.13,300,PEN,1429142400,6.13,2015-04-16,6.13
6.36,6.63,4500,PEN,1429228800,6.36,2015-04-17,6.63
6.08,6.58,5200,PEN,1429574400,6.08,2015-04-21,6.58
6.58,6.58,1000,PEN,1429660800,6.58,2015-04-22,6.58
6.08,6.08,1000,PEN,1429747200,6.08,2015-04-23,6.08
6.08,6.08,900,PEN,1430092800,6.08,2015-04-27,6.08
5.53,5.53,110,PEN,1430697600,5.53,2015-05-04,5.53
5.53,5.53,2100,PEN,1430784000,5.53,2015-05-05,5.53
5.25,5.25,2000,PEN,1431302400,5.25,2015-05-11,5.25
5.2,5.47,3100,PEN,1431388800,5.14,2015-05-12,5.47
5.08,5.08,1000,PEN,1431907200,5.08,2015-05-18,5.08
4.75,4.75,100,PEN,1431993600,4.75,2015-05-19,4.75
5.2,4.75,300,PEN,1432166400,4.75,2015-05-21,5.2
4.86,5.2,600,PEN,1432252800,4.86,2015-05-22,5.2
5.69,5.69,100,PEN,1432512000,5.69,2015-05-25,5.69
6.25,6.25,100,PEN,1432598400,6.25,2015-05-26,6.25
6.41,6.41,100,PEN,1433116800,6.41,2015-06-01,6.41
6.41,6.41,1000,PEN,1433289600,6.41,2015-06-03,6.41
6.41,6.13,1300,PEN,1433376000,6.08,2015-06-04,6.41
5.53,6.3,6800,PEN,1433808000,5.53,2015-06-09,6.3
6.36,6.36,110,PEN,1433894400,6.36,2015-06-10,6.36
5.75,5.75,4400,PEN,1433980800,5.75,2015-06-11,5.75
5.25,6.3,4100,PEN,1434067200,5.25,2015-06-12,6.3
6.08,6.08,200,PEN,1434412800,6.08,2015-06-16,6.08
5.75,5.75,200,PEN,1434499200,5.75,2015-06-17,5.75
5.97,5.36,11100,PEN,1434585600,5.36,2015-06-18,5.97
5.86,5.47,800,PEN,1435104000,5.47,2015-06-24,5.86
5.53,5.97,300,PEN,1435881600,5.53,2015-07-03,5.97
5.97,5.97,900,PEN,1436400000,5.97,2015-07-09,5.97
6.13,6.36,200,PEN,1436745600,6.13,2015-07-13,6.36
6.52,6.52,1100,PEN,1436832000,6.52,2015-07-14,6.52
6.69,6.69,100,PEN,1436918400,6.69,2015-07-15,6.69
6.08,6.08,1400,PEN,1437004800,6.08,2015-07-16,6.08
5.8,5.8,1000,PEN,1437523200,5.8,2015-07-22,5.8
5.31,5.31,300,PEN,1437955200,5.31,2015-07-27,5.31
5.8,5.8,100,PEN,1438646400,5.8,2015-08-04,5.8
5.8,5.8,200,PEN,1439769600,5.8,2015-08-17,5.8
5.25,5.25,200,PEN,1440460800,5.25,2015-08-25,5.25
5.53,5.53,100,PEN,1441756800,5.53,2015-09-09,5.53
5.58,5.58,1500,PEN,1442448000,5.58,2015-09-17,5.58
5.03,5.03,2300,PEN,1443484800,5.03,2015-09-29,5.03
5.53,5.53,4100,PEN,1444176000,5.14,2015-10-07,5.53
6.08,6.08,100,PEN,1444348800,6.08,2015-10-09,6.08
6.08,6.08,100,PEN,1444608000,6.08,2015-10-12,6.08
6.69,6.69,100,PEN,1444694400,6.69,2015-10-13,6.69
